日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/11/28,"9,595,024","498,703,387",52.20,52.40,51.60,52.00,-0.10,"5,575",
114/12/01,"9,570,503","500,459,684",51.80,52.70,51.80,52.40,+0.40,"5,662",
114/12/02,"12,505,765","653,600,746",52.20,52.80,52.00,52.00,-0.40,"7,047",
114/12/03,"7,340,873","382,030,284",52.20,52.40,51.80,51.90,-0.10,"4,928",
114/12/04,"18,798,288","992,668,725",52.30,53.40,52.30,52.50,+0.60,"10,355",
114/12/05,"14,131,448","734,128,317",52.50,52.90,51.60,51.70,-0.80,"9,352",
114/12/08,"14,893,181","761,258,753",51.70,51.70,50.70,51.20,-0.50,"9,867",
114/12/09,"20,279,311","1,023,081,343",50.90,50.90,50.30,50.40,-0.80,"14,408",
114/12/10,"12,500,050","631,800,113",50.40,50.80,50.20,50.60,+0.20,"7,693",
114/12/11,"11,897,287","601,371,002",50.40,50.80,50.30,50.70,+0.10,"7,554",
114/12/12,"10,308,788","525,523,711",50.90,51.30,50.80,50.80,+0.10,"5,452",
114/12/15,"13,130,432","673,996,688",51.20,51.60,50.90,51.30,+0.50,"7,902",
114/12/16,"11,543,728","593,397,393",51.50,51.80,50.90,51.50,+0.20,"6,745",
114/12/17,"16,644,708","859,858,853",51.50,52.00,51.30,51.60,+0.10,"8,709",
114/12/18,"12,566,133","639,053,231",51.40,51.40,50.60,50.70,-0.90,"7,724",
114/12/19,"48,376,276","2,519,256,880",50.80,52.30,50.80,52.30,+1.60,"7,813",
114/12/22,"10,902,605","571,048,022",52.30,52.70,52.00,52.70,+0.40,"6,588",
114/12/23,"7,323,327","386,852,989",52.70,53.10,52.70,52.80,+0.10,"5,365",
114/12/24,"45,491,340","2,520,467,533",53.50,56.30,53.50,55.30,+2.50,"25,155",
114/12/26,"24,393,607","1,363,966,069",55.40,56.20,55.20,56.10,+0.80,"14,187",
114/12/29,"15,868,487","897,482,486",56.40,56.90,56.00,56.60,+0.50,"9,885",
114/12/30,"13,252,483","741,558,287",56.20,56.30,55.40,56.30,-0.30,"7,379",
114/12/31,"11,155,108","622,252,372",56.30,56.40,55.50,55.70,-0.60,"6,984",
115/01/02,"12,999,146","729,706,527",56.70,56.90,55.70,56.00,+0.30,"8,033",
115/01/05,"13,399,196","739,807,768",56.40,56.40,54.70,54.90,-1.10,"21,666",
115/01/06,"15,186,246","839,702,935",55.00,55.70,54.90,55.50,+0.60,"8,111",
115/01/07,"32,749,776","1,865,358,466",55.50,57.70,55.50,57.60,+2.10,"18,202",
115/01/08,"21,849,632","1,241,715,319",58.00,58.70,56.20,56.30,-1.30,"31,968",
115/01/09,"13,044,688","733,283,679",56.60,57.20,55.80,56.20,-0.10,"10,236",
115/01/12,"10,847,180","604,526,293",56.20,56.20,55.20,56.10,-0.10,"12,175",
115/01/13,"13,769,302","767,030,558",56.50,57.10,55.10,55.40,-0.70,"12,041",
115/01/14,"8,557,154","473,791,882",55.50,55.80,55.10,55.40, 0.00,"5,337",
115/01/15,"9,248,991","511,922,377",55.80,56.00,55.00,55.50,+0.10,"5,486",
115/01/16,"23,163,231","1,259,499,890",55.60,55.70,53.90,54.50,-1.00,"16,440",
115/01/19,"19,567,371","1,055,598,969",54.00,54.40,53.40,54.00,-0.50,"10,615",
115/01/20,"17,412,097","960,625,675",54.50,55.80,54.40,55.10,+1.10,"10,747",
115/01/21,"18,001,883","999,933,237",55.20,56.20,54.90,55.20,+0.10,"11,537",
115/01/22,"12,629,301","704,348,628",55.80,56.40,55.30,55.50,+0.30,"8,585",
115/01/23,"17,811,379","966,830,195",55.50,55.50,53.90,54.30,-1.20,"13,018",
115/01/26,"10,409,497","559,808,009",54.00,54.30,53.30,54.30, 0.00,"7,049",
115/01/27,"10,246,104","552,939,385",54.30,54.60,53.50,53.90,-0.40,"7,004",
115/01/28,"15,431,583","843,933,084",54.20,55.20,54.20,54.80,+0.90,"8,906",
115/01/29,"9,747,941","531,778,543",54.80,54.80,54.20,54.70,-0.10,"5,472",
115/01/30,"12,074,977","648,406,402",54.90,54.90,53.30,53.40,-1.30,"7,901",
115/02/02,"10,796,705","566,112,738",52.70,53.00,52.10,52.30,-1.10,"8,256",
115/02/03,"7,029,767","369,155,770",52.70,53.00,52.30,52.40,+0.10,"4,653",
115/02/04,"7,035,973","371,853,518",52.20,53.30,52.10,52.80,+0.40,"4,066",
115/02/05,"7,045,457","373,687,814",53.30,53.70,52.80,52.80, 0.00,"4,556",
115/02/06,"9,781,881","509,336,915",52.40,52.40,51.70,52.20,-0.60,"6,569",
115/02/09,"5,868,133","306,513,160",52.40,52.60,52.00,52.20, 0.00,"4,441",
115/02/10,"7,924,099","417,908,758",52.90,53.10,52.50,52.80,+0.60,"4,666",
115/02/11,"8,163,488","432,097,576",52.60,53.30,52.50,53.30,+0.50,"5,227",
115/02/23,"34,692,392","1,922,629,908",54.20,56.00,54.10,55.50,+2.20,"17,645",
115/02/24,"13,868,548","773,478,770",55.70,56.10,55.50,55.90,+0.40,"8,249",
115/02/25,"15,068,653","844,707,239",56.30,56.40,55.70,56.30,+0.40,"9,170",
115/02/26,"33,209,641","1,901,550,836",56.40,57.70,56.30,57.40,+1.10,"15,783",
115/03/02,"80,212,098","4,818,059,734",61.90,62.90,58.70,60.00,+2.60,"62,056",
115/03/03,"176,100,716","11,358,663,085",61.10,66.00,61.00,66.00,+6.00,"94,848",
115/03/04,"288,355,411","19,175,142,834",68.90,69.90,63.10,63.60,-2.40,"141,642",
115/03/05,"140,918,271","8,739,945,657",64.20,67.00,59.30,60.00,-3.60,"74,459",
115/03/06,"62,493,695","3,829,065,144",61.90,63.00,59.80,60.70,+0.70,"31,900",
115/03/09,"166,538,227","10,371,081,844",61.50,65.00,59.10,61.60,+0.90,"87,503",
115/03/10,"52,356,040","3,131,395,400",60.00,60.90,59.30,60.00,-1.60,"30,188",
115/03/11,"29,795,534","1,813,728,926",60.50,61.50,60.30,60.90,+0.90,"16,498",
115/03/12,"38,247,824","2,372,502,531",61.80,62.90,61.10,62.10,+1.20,"23,591",
115/03/13,"45,304,442","2,723,604,319",62.20,62.60,59.10,59.20,-2.90,"30,165",
115/03/16,"30,393,706","1,821,896,633",59.90,61.20,59.20,59.30,+0.10,"17,453",
115/03/17,"28,925,699","1,694,502,849",59.90,59.90,58.20,58.50,-0.80,"18,201",
115/03/18,"30,708,498","1,777,621,065",58.10,58.80,57.20,58.30,-0.20,"20,628",
115/03/19,"30,033,145","1,728,551,243",58.50,59.20,56.50,56.50,-1.80,"20,703",
115/03/20,"51,512,121","2,880,013,739",56.50,56.60,55.10,56.10,-0.40,"17,141",
115/03/23,"26,350,654","1,395,158,010",51.60,54.10,51.60,52.80,-3.30,"19,239",
115/03/24,"19,679,925","1,034,504,541",53.20,53.40,52.00,52.40,-0.40,"12,188",
115/03/25,"12,470,091","663,978,616",53.40,53.80,52.70,53.70,+1.30,"8,292",
115/03/26,"12,657,082","675,126,765",54.20,54.30,52.60,52.60,-1.10,"11,018",
